,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
14286,5.29,1.2,favori,0.7425926,0.25740743
14287,4.81,1.23,challenger,0.7225121,0.27748787
14288,4.43,1.26,favori,0.69943,0.30057
14289,3.08,1.44,challenger,0.74146444,0.25853556
14290,2.98,1.46,favori,0.49749404,0.50250596
14291,2.94,1.47,favori,0.7388367,0.2611633
14292,2.83,1.5,favori,0.7155973,0.28440273
14293,13.9,1.05,favori,0.8980508,0.101949215
14294,6.35,1.16,favori,0.7787638,0.22123623
14295,2.24,1.75,challenger,0.4844524,0.51554763
14296,2.26,1.74,favori,0.6124452,0.38755482
14297,2.36,1.68,challenger,0.6219962,0.37800378
14298,2.5,1.61,challenger,0.6676227,0.3323773
14299,1.79,2.17,challenger,0.5538925,0.4461075
14300,2.58,1.58,favori,0.5556513,0.4443487
14301,5.84,1.18,favori,0.7407678,0.25923222
14302,2.51,1.61,favori,0.6367507,0.3632493
14303,2.2,1.77,favori,0.63918006,0.36081994
14304,4.37,1.26,favori,0.7671833,0.2328167
14305,3.45,1.37,challenger,0.63009804,0.36990196
14306,5.91,1.18,challenger,0.77472633,0.22527367
14307,2.99,1.46,favori,0.7051657,0.29483432
14308,2.95,1.47,favori,0.52735984,0.47264016
14309,2.79,1.51,favori,0.5784807,0.42151928
14310,2.39,1.66,challenger,0.55782294,0.44217706
14311,3.61,1.35,favori,0.66519105,0.33480895
14312,7.38,1.13,favori,0.7935885,0.20641148
14313,9.87,1.09,favori,0.84276724,0.15723276
14314,1.76,2.22,challenger,0.44834358,0.5516564
14315,1.34,3.62,favori,0.4943928,0.5056072
14316,7.2,1.14,favori,0.7962061,0.20379388
14317,1.7,2.32,favori,0.71241313,0.28758687
14318,2.65,1.56,favori,0.7646071,0.23539293
14319,1.29,3.7,challenger,0.4964942,0.5035058
14320,2.25,1.74,challenger,0.6589776,0.34102237
14321,1.25,4.6,challenger,0.48162004,0.5183799
14322,3.1,1.43,challenger,0.6596911,0.3403089
14323,4.05,1.29,favori,0.71327335,0.28672665
14324,6.35,1.16,favori,0.645685,0.35431498
14325,2.51,1.61,favori,0.6205195,0.37948048
14326,3.84,1.32,favori,0.55883783,0.44116217
14327,2.77,1.52,favori,0.6632369,0.33676308
14328,1.26,4.43,challenger,0.40963987,0.59036016
14329,1.46,2.98,challenger,0.50870234,0.49129766
14330,2.55,1.6,challenger,0.55920684,0.44079316
14331,2.34,1.69,challenger,0.74423766,0.25576234
14332,1.65,2.43,favori,0.40323097,0.59676903
14333,2.31,1.7,challenger,0.4938458,0.5061542
14334,1.83,2.11,challenger,0.47929823,0.52070177
14335,1.71,2.3,challenger,0.6090339,0.39096612
14336,2.04,1.88,favori,0.5338193,0.46618068
14337,2.56,1.59,challenger,0.72393876,0.27606124
14338,5.06,1.22,favori,0.7719428,0.2280572
14339,5.22,1.21,favori,0.78195286,0.21804714
14340,4.05,1.29,favori,0.7252405,0.27475947
14341,6.42,1.16,favori,0.77495277,0.22504723
14342,3.84,1.32,challenger,0.7547575,0.24524248
14343,5.37,1.2,favori,0.76353186,0.23646814
14344,4.55,1.25,favori,0.6935626,0.30643737
14345,3.28,1.4,favori,0.5593178,0.44068217
14346,3.91,1.31,challenger,0.7604308,0.23956919
14347,7.29,1.13,favori,0.73927474,0.26072526
14348,4.17,1.28,favori,0.64652693,0.35347307
14349,3.57,1.35,favori,0.49114922,0.5088508
14350,2.8,1.51,favori,0.6938362,0.3061638
