,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
25189,9.87,1.08,favori,favori,0.16316974,0.83683026
25190,2.75,1.51,favori,favori,0.22288018,0.7771198
25191,2.2,1.75,challenger,favori,0.36055696,0.63944304
25192,6.87,1.14,challenger,favori,0.12402785,0.87597215
25193,2.44,1.63,favori,favori,0.41236907,0.5876309
25194,4.46,1.25,challenger,favori,0.44040608,0.5595939
25195,8.67,1.1,favori,favori,0.20082402,0.799176
25196,2.0,1.91,challenger,favori,0.3875563,0.6124437
25197,8.67,1.1,favori,favori,0.05584812,0.9441519
25198,7.55,1.12,favori,favori,0.14221913,0.8577809
25199,2.37,1.66,challenger,favori,0.39335918,0.6066408
25200,24.52,1.02,favori,favori,0.031880558,0.96811944
25201,4.85,1.22,favori,favori,0.2039308,0.7960692
25202,5.24,1.2,favori,favori,0.38971514,0.61028486
25203,8.05,1.11,favori,favori,0.1401788,0.8598212
25204,3.33,1.38,favori,challenger,0.5200261,0.47997394
25205,3.22,1.4,favori,favori,0.44062918,0.5593708
25206,1.7,2.29,favori,favori,0.23295003,0.76704997
25207,2.26,1.68,challenger,favori,0.313627,0.686373
25208,7.73,1.12,favori,favori,0.39029288,0.6097071
25209,1.95,1.91,favori,favori,0.4775995,0.5224005
25210,3.3,1.39,challenger,favori,0.25164694,0.74835306
25211,3.85,1.31,favori,challenger,0.50519407,0.49480593
25212,4.6,1.24,challenger,favori,0.23380607,0.7661939
25213,5.0,1.21,favori,favori,0.2170288,0.7829712
25214,1.45,3.0,challenger,favori,0.26712412,0.7328759
25215,18.08,1.04,favori,favori,0.06411296,0.93588704
25216,5.77,1.17,favori,favori,0.28161824,0.71838176
25217,4.14,1.28,favori,favori,0.47032005,0.52967995
25218,2.22,1.74,favori,favori,0.33157456,0.66842544
25219,9.35,1.09,favori,favori,0.21383983,0.7861602
25220,9.35,1.09,favori,favori,0.117156565,0.88284343
25221,10.44,1.08,favori,favori,0.15311772,0.8468823
25222,2.86,1.48,challenger,favori,0.2219801,0.7780199
25223,4.34,1.26,favori,favori,0.20921916,0.79078084
25224,5.77,1.18,favori,favori,0.21743232,0.7825677
25225,25.5,1.02,favori,favori,0.033533633,0.96646637
