,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
26179,14.88,1.05,favori,favori,0.03486955,0.96513045
26180,19.28,1.03,favori,favori,0.059757113,0.9402429
26181,6.44,1.15,favori,favori,0.17815804,0.82184196
26182,1.82,2.13,challenger,favori,0.35130024,0.64869976
26183,6.12,1.17,favori,favori,0.11736232,0.8826377
26184,8.57,1.11,favori,favori,0.056422293,0.9435777
26185,1.7,2.31,favori,favori,0.48111707,0.51888293
26186,6.73,1.15,favori,favori,0.108177125,0.8918229
26187,4.4,1.26,favori,favori,0.4082021,0.5917979
26188,2.26,1.73,favori,favori,0.46488643,0.5351136
26189,2.65,1.56,challenger,favori,0.31998336,0.68001664
26190,3.06,1.44,favori,challenger,0.51077193,0.48922807
26191,3.77,1.33,favori,favori,0.21176553,0.7882345
26192,1.68,2.36,challenger,challenger,0.5155221,0.48447785
26193,2.28,1.72,challenger,favori,0.39979476,0.60020524
26194,2.99,1.46,favori,favori,0.29980803,0.700192
26195,2.99,1.46,challenger,favori,0.297253,0.702747
26196,1.68,2.35,challenger,challenger,0.5363356,0.46366444
26197,1.61,2.52,challenger,favori,0.49736083,0.5026392
26198,2.74,1.53,challenger,favori,0.31365055,0.68634945
26199,3.5,1.34,favori,favori,0.34358948,0.6564105
26200,2.31,1.68,favori,favori,0.47059965,0.52940035
26201,4.0,1.3,favori,favori,0.3035218,0.6964782
26202,1.81,2.09,favori,favori,0.49019694,0.50980306
26203,2.77,1.5,favori,favori,0.34689695,0.65310305
26204,2.23,1.72,challenger,favori,0.4473673,0.5526327
26205,2.63,1.54,challenger,favori,0.4022938,0.5977062
26206,1.83,2.07,favori,favori,0.2615155,0.7384845
26207,3.05,1.43,favori,favori,0.35094225,0.64905775
26208,1.43,3.01,challenger,challenger,0.7046986,0.29530138
26209,2.46,1.61,favori,favori,0.48025972,0.5197403
26210,1.84,2.06,challenger,challenger,0.56249857,0.4375014
26211,2.62,1.54,favori,favori,0.23084229,0.7691577
26212,1.7,2.26,favori,favori,0.41968393,0.58031607
26213,4.65,1.24,challenger,favori,0.29201722,0.7079828
26214,2.15,1.78,challenger,favori,0.4885568,0.5114432
26215,2.6,1.55,challenger,favori,0.26718038,0.7328196
26216,3.64,1.33,favori,favori,0.1785649,0.8214351
26217,1.85,2.07,favori,favori,0.3660004,0.6339996
26218,2.52,1.6,favori,favori,0.24242783,0.7575722
26219,1.98,1.93,challenger,favori,0.44989598,0.550104
26220,3.61,1.34,favori,favori,0.4006403,0.5993597
26221,6.27,1.16,favori,favori,0.21255755,0.78744245
26222,1.65,2.39,favori,challenger,0.5955751,0.40442488
26223,2.31,1.7,favori,favori,0.44779724,0.55220276
26224,2.97,1.45,favori,favori,0.32926667,0.67073333
26225,2.73,1.52,favori,favori,0.4548033,0.5451967
26226,4.85,1.22,favori,favori,0.28065735,0.71934265
26227,2.11,1.81,favori,favori,0.43032765,0.56967235
