,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
12868,2.92,1.476,challenger,favori,0.39681625,0.60318375
12869,1.82,2.13,challenger,challenger,0.55163956,0.44836044
12870,3.26,1.403,favori,favori,0.3669628,0.6330372
12871,2.83,1.5,favori,favori,0.42798662,0.5720134
12872,4.09,1.29,favori,favori,0.34535813,0.65464187
12873,2.53,1.602,challenger,favori,0.31435132,0.6856487
12874,2.37,1.671,favori,favori,0.49725997,0.50274
12875,2.03,1.901,favori,favori,0.44034046,0.55965954
12876,1.885,2.04,favori,favori,0.34997368,0.6500263
12877,1.524,2.75,challenger,challenger,0.6179799,0.38202015
12878,2.74,1.526,favori,favori,0.4071883,0.5928117
12879,2.44,1.641,favori,favori,0.32816905,0.67183095
12880,2.35,1.685,challenger,challenger,0.5410565,0.45894352
12881,2.13,1.82,favori,favori,0.48395044,0.51604956
12882,3.35,1.386,favori,favori,0.3992896,0.6007104
12883,2.43,1.645,favori,favori,0.36059517,0.63940483
12884,2.93,1.474,challenger,favori,0.3040853,0.6959147
12885,4.96,1.222,favori,favori,0.19409436,0.80590564
12886,5.25,1.206,favori,favori,0.2384401,0.7615599
12887,2.05,1.877,favori,favori,0.4752983,0.5247017
12888,1.6369999999999998,2.45,favori,favori,0.4485042,0.5514958
12889,4.77,1.235,favori,favori,0.14866388,0.8513361
12890,3.36,1.385,favori,challenger,0.5119904,0.4880096
12891,4.0,1.2990000000000002,favori,favori,0.257205,0.742795
12892,4.09,1.29,challenger,favori,0.41113043,0.5888696
12893,2.18,1.781,challenger,favori,0.34458458,0.6554154
12894,7.1,1.138,favori,favori,0.13114113,0.8688589
12895,2.28,1.719,challenger,challenger,0.60043275,0.39956728
12896,1.372,3.44,favori,challenger,0.6020131,0.39798686
12897,5.88,1.177,favori,favori,0.120509565,0.87949044
12898,3.88,1.3130000000000002,favori,favori,0.24981016,0.75018984
12899,2.55,1.595,challenger,favori,0.32291037,0.67708963
12900,1.885,2.04,challenger,challenger,0.50708747,0.49291256
12901,1.725,2.27,favori,challenger,0.55245423,0.4475458
12902,2.26,1.73,challenger,favori,0.34536213,0.6546379
12903,2.64,1.5619999999999998,favori,favori,0.24996215,0.75003785
12904,3.88,1.3130000000000002,challenger,favori,0.22783995,0.77216005
12905,2.92,1.476,favori,favori,0.30483496,0.69516504
12906,2.21,1.763,challenger,challenger,0.564765,0.43523505
12907,1.714,2.29,favori,favori,0.40981257,0.59018743
12908,2.27,1.725,favori,favori,0.37947536,0.62052464
12909,3.53,1.37,favori,favori,0.3600716,0.6399284
12910,3.33,1.391,favori,favori,0.29821593,0.7017841
12911,4.71,1.239,favori,favori,0.17922616,0.82077384
12912,9.5,1.093,favori,favori,0.120762706,0.8792373
12913,2.98,1.463,favori,favori,0.27374566,0.72625434
12914,3.48,1.365,favori,favori,0.33957058,0.6604294
12915,1.862,2.07,favori,favori,0.28284842,0.7171516
12916,2.22,1.758,challenger,favori,0.43364513,0.5663549
12917,3.86,1.314,favori,favori,0.31868762,0.6813124
12918,4.35,1.267,favori,favori,0.33517897,0.664821
12919,1.172,6.0,challenger,challenger,0.7232553,0.27674472
12920,2.75,1.524,challenger,favori,0.38700658,0.6129934
12921,6.43,1.157,favori,favori,0.23394561,0.7660544
12922,3.4,1.379,challenger,favori,0.38374537,0.6162546
12923,2.36,1.676,favori,favori,0.34599417,0.6540058
12924,1.8,2.15,favori,favori,0.32205576,0.67794424
12925,5.37,1.2,favori,favori,0.30769145,0.69230855
