,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
15305,46.0,1.01,favori,favori,0.16779433230131302,0.832205667698687
15306,2.62,1.56,challenger,challenger,0.6146455112191518,0.3853544887808482
15307,8.6,1.1,favori,favori,0.16059493496145005,0.83940506503855
15308,2.52,1.59,favori,favori,0.1772503124343935,0.8227496875656065
15309,1.93,1.98,challenger,challenger,0.6357306327127301,0.36426936728726994
15310,2.56,1.58,challenger,favori,0.2384052427004426,0.7615947572995574
15311,2.87,1.48,favori,favori,0.20389617271164573,0.7961038272883543
15312,6.76,1.14,favori,favori,0.23741580014336483,0.7625841998566352
15313,2.8,1.5,favori,favori,0.323722794968737,0.676277205031263
15314,1.47,2.94,favori,challenger,0.5284909808258831,0.4715090191741169
15315,2.42,1.65,favori,favori,0.2950920515044355,0.7049079484955645
15316,7.03,1.14,favori,favori,0.1495626063996247,0.8504373936003753
15317,2.7,1.54,challenger,favori,0.16430066925213527,0.8356993307478647
15318,7.18,1.14,favori,favori,0.2684884124516388,0.7315115875483612
15319,25.5,1.02,favori,favori,0.18736174761441549,0.8126382523855845
15320,3.55,1.35,challenger,favori,0.34091395595364726,0.6590860440463527
15321,9.05,1.1,favori,favori,0.3919285694548569,0.6080714305451431
15322,7.72,1.12,challenger,favori,0.17480225946670191,0.8251977405332981
15323,23.0,1.02,favori,favori,0.15263825507104412,0.8473617449289559
15324,4.7,1.24,favori,favori,0.14109248286656473,0.8589075171334353
15325,3.32,1.39,favori,favori,0.3630686415789055,0.6369313584210945
15326,10.75,1.08,favori,favori,0.2971412659531544,0.7028587340468456
15327,7.51,1.13,favori,favori,0.29205126666717507,0.7079487333328249
15328,2.66,1.53,favori,favori,0.3509187825851593,0.6490812174148407
15329,3.82,1.3,favori,favori,0.2735274091281541,0.7264725908718459
15330,1.39,3.23,favori,favori,0.4992881256384446,0.5007118743615554
15331,4.89,1.21,favori,favori,0.35017906014300937,0.6498209398569906
15332,2.04,1.85,favori,challenger,0.5316177912125803,0.4683822087874196
15333,2.27,1.69,challenger,favori,0.45035197563534124,0.5496480243646588
15334,4.02,1.28,favori,favori,0.3063215013915829,0.6936784986084171
15335,4.63,1.23,favori,favori,0.3025559474369264,0.6974440525630736
15336,1.83,2.07,challenger,challenger,0.5182649208430209,0.4817350791569791
15337,1.5,2.77,favori,challenger,0.6083473285541356,0.3916526714458644
15338,1.55,2.6,challenger,favori,0.4707005293497297,0.5292994706502703
15339,2.34,1.68,favori,favori,0.22068786193706813,0.7793121380629319
15340,2.77,1.51,favori,favori,0.24906377390889067,0.7509362260911093
15341,1.61,2.45,challenger,favori,0.4228259929152135,0.5771740070847865
15342,2.16,1.76,favori,favori,0.47572465708301714,0.5242753429169829
15343,3.79,1.31,favori,favori,0.38164202667296643,0.6183579733270336
15344,2.84,1.48,challenger,favori,0.2584925292203699,0.7415074707796301
15345,3.29,1.38,favori,favori,0.34302216468167424,0.6569778353183258
15346,1.3,3.82,challenger,challenger,0.5434497947085921,0.4565502052914079
15347,2.76,1.5,favori,favori,0.2775163596627983,0.7224836403372017
15348,5.96,1.17,challenger,favori,0.18274603181853033,0.8172539681814697
15349,4.85,1.22,favori,favori,0.23938063008194443,0.7606193699180556
15350,2.99,1.45,favori,favori,0.282535633269981,0.717464366730019
15351,4.65,1.24,favori,favori,0.25110020835766567,0.7488997916423343
15352,5.16,1.2,favori,favori,0.17524463595557127,0.8247553640444287
15353,2.3,1.69,challenger,challenger,0.5227840160228105,0.4772159839771895
15354,41.0,1.01,favori,favori,0.07098277118572216,0.9290172288142778
15355,17.5,1.03,favori,favori,0.10718005652527762,0.8928199434747224
15356,8.6,1.1,favori,favori,0.31255315313352583,0.6874468468664742
15357,4.77,1.23,favori,favori,0.2030402990950212,0.7969597009049788
15358,3.05,1.43,favori,favori,0.3386264825460268,0.6613735174539732
15359,4.61,1.24,favori,favori,0.2629833647339157,0.7370166352660843
15360,1.75,2.21,challenger,favori,0.3791689784214537,0.6208310215785463
15361,2.34,1.68,challenger,favori,0.41593654047982875,0.5840634595201712
15362,1.57,2.59,favori,favori,0.4482004492709021,0.5517995507290979
15363,4.24,1.27,favori,favori,0.16677458581269922,0.8332254141873008
15364,2.78,1.51,favori,favori,0.3854448622630715,0.6145551377369285
15365,2.66,1.54,favori,favori,0.3085228310761611,0.6914771689238389
15366,13.0,1.05,favori,favori,0.14915432983040222,0.8508456701695978
15367,1.6,2.5,favori,favori,0.44299527213500356,0.5570047278649964
15368,61.0,1.01,favori,favori,0.09559705557366038,0.9044029444263396
15369,2.03,1.9,challenger,favori,0.4945636411496629,0.5054363588503371
15370,21.0,1.03,favori,favori,0.20065268447119522,0.7993473155288048
