,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
19468,1.0490000000000002,16.25,challenger,favori,0.07496377054318235,0.9250362294568178
19469,1.431,3.12,challenger,favori,0.2015661410484941,0.7984338589515065
19470,1.5519999999999998,2.71,challenger,challenger,0.5119848190251443,0.4880151809748557
19471,1.08,11.0,favori,favori,0.1994853050544229,0.800514694945578
19472,1.709,2.31,favori,challenger,0.6516701450570045,0.3483298549429959
19473,1.556,2.7,favori,challenger,0.6915256676330207,0.3084743323669794
19474,1.294,4.1,favori,challenger,0.5326466367567758,0.46735336324322396
19475,2.3,1.714,favori,challenger,0.6264517460692515,0.3735482539307484
19476,1.213,5.3,favori,challenger,0.6796241819498009,0.32037581805019905
19477,2.55,1.606,challenger,challenger,0.6290958854104606,0.3709041145895398
19478,1.27,4.4,favori,favori,0.13844459698368378,0.8615554030163162
19479,1.2,5.5,favori,favori,0.21589915654441924,0.7841008434555807
19481,1.704,2.32,challenger,favori,0.3097970284578495,0.6902029715421508
19482,1.952,1.952,favori,favori,0.4901765376780084,0.5098234623219917
19483,1.735,2.26,favori,favori,0.11491500329735628,0.8850849967026443
19484,1.599,2.57,favori,challenger,0.5558327282624491,0.4441672717375507
19485,1.154,6.88,favori,favori,0.20846495402602241,0.7915350459739776
19487,1.465,2.95,favori,favori,0.09790749816632179,0.9020925018336788
19488,1.429,3.13,favori,challenger,0.7445771826865948,0.2554228173134057
19489,1.161,6.61,favori,favori,0.39618010660134517,0.6038198933986547
19490,1.524,2.78,favori,favori,0.05717529464000051,0.9428247053599998
19492,1.6669999999999998,2.4,favori,challenger,0.589628930656268,0.41037106934373135
19493,1.364,3.55,challenger,favori,0.19885599436060913,0.801144005639391
19495,1.694,2.34,challenger,challenger,0.6750102847461762,0.32498971525382364
19496,2.02,1.893,challenger,challenger,0.7616106713324513,0.23838932866754853
19497,1.467,2.94,challenger,favori,0.48942945768541735,0.5105705423145827
19498,1.69,2.35,favori,favori,0.22009869427957687,0.7799013057204238
19500,1.036,23.0,favori,favori,0.0639448414330767,0.9360551585669233
19503,1.061,14.0,favori,favori,0.30176237497452696,0.6982376250254733
19504,1.581,2.62,favori,favori,0.25251137102491594,0.7474886289750841
19505,1.187,5.84,favori,favori,0.1960632679498007,0.8039367320501996
19506,1.185,5.92,favori,favori,0.24575605671418368,0.7542439432858167
19507,1.185,5.9,challenger,favori,0.36927632155426254,0.6307236784457373
19510,1.51,2.81,challenger,favori,0.2872527158943568,0.7127472841056431
19512,1.806,2.14,challenger,favori,0.2683188143555792,0.7316811856444203
19513,1.212,5.31,favori,favori,0.3257401488432446,0.6742598511567552
19515,1.364,3.55,favori,favori,0.14942882444353042,0.8505711755564701
19516,1.241,4.75,challenger,challenger,0.5430240636212771,0.45697593637872286
19518,2.03,1.885,favori,favori,0.283634629103491,0.7163653708965096
19519,1.222,5.1,favori,favori,0.19260605829909921,0.8073939417009007
19520,2.45,1.645,challenger,challenger,0.6425742076550895,0.3574257923449103
19522,1.775,2.19,challenger,favori,0.35092507471029166,0.649074925289709
19523,1.51,2.81,favori,favori,0.30203700582594456,0.6979629941740566
19524,1.538,2.76,favori,favori,0.3898978356524801,0.6101021643475206
19526,1.592,2.59,favori,favori,0.37330688094155623,0.6266931190584438
19527,3.02,1.45,challenger,favori,0.31160274529392196,0.6883972547060787
19529,1.725,2.28,challenger,favori,0.1884526646556058,0.8115473353443938
19530,1.442,3.06,favori,favori,0.18697537772684852,0.8130246222731518
19531,2.05,1.87,challenger,favori,0.24411882431294196,0.7558811756870578
19532,1.746,2.24,favori,favori,0.4435889302439879,0.5564110697560123
19533,1.167,6.4,favori,favori,0.39091477574712913,0.6090852242528714
19534,1.25,4.6,favori,favori,0.4109666875608053,0.589033312439195
19535,1.082,11.25,favori,favori,0.36655325214001677,0.6334467478599829
19536,1.061,14.0,favori,favori,0.4292509117903078,0.5707490882096918
19537,2.29,1.719,challenger,challenger,0.7060827197312498,0.29391728026875097
19538,2.18,1.781,favori,favori,0.4425233607304673,0.5574766392695321
19539,1.137,7.58,favori,favori,0.1345903346653348,0.8654096653346653
19540,1.249,4.62,favori,favori,0.39105501358362893,0.608944986416371
19541,1.235,4.85,favori,challenger,0.7798635496561604,0.2201364503438391
19542,1.4880000000000002,2.85,favori,challenger,0.6237058711370626,0.37629412886293717
19543,1.239,4.79,favori,challenger,0.5934637440045335,0.40653625599546683
19544,1.649,2.44,favori,favori,0.16559548996754883,0.8344045100324514
19545,3.43,1.38,challenger,challenger,0.6956643529415198,0.3043356470584799
19546,1.21,5.36,favori,challenger,0.5594114162904446,0.4405885837095556
19547,1.469,2.93,favori,challenger,0.5382312911374835,0.46176870886251664
19548,1.575,2.64,favori,favori,0.23963257780425956,0.7603674221957397
19549,1.714,2.3,challenger,favori,0.2583360468269372,0.7416639531730624
19550,1.025,28.5,favori,challenger,0.5707649866220923,0.4292350133779078
19551,2.13,1.813,favori,favori,0.31389905209169905,0.6861009479083009
19552,1.324,3.79,favori,favori,0.457537458319115,0.5424625416808853
19553,1.351,3.65,favori,challenger,0.6458690994076443,0.354130900592356
19554,1.04,21.0,favori,favori,0.3722125999129869,0.6277874000870127
19555,1.6369999999999998,2.47,favori,favori,0.07465789667848494,0.9253421033215152
19556,2.35,1.69,challenger,favori,0.04299697605456118,0.9570030239454389
19557,1.826,2.11,challenger,favori,0.1210104317251378,0.8789895682748629
19558,1.87,2.05,favori,favori,0.374589028621553,0.6254109713784469
19559,1.3030000000000002,4.0,favori,challenger,0.6274100458055878,0.3725899541944124
19560,1.2990000000000002,4.05,challenger,favori,0.14826651521793527,0.8517334847820653
19561,2.01,1.901,challenger,favori,0.23090427777416958,0.7690957222258304
19562,1.198,5.55,challenger,favori,0.2961273578932248,0.7038726421067757
19563,1.332,3.71,favori,challenger,0.5880734933367285,0.41192650666327124
19564,1.247,4.65,favori,challenger,0.7486016621665235,0.25139833783347715
19565,1.5519999999999998,2.71,favori,favori,0.43487793346144743,0.5651220665385527
19566,2.45,1.645,favori,challenger,0.6909737099158149,0.309026290084185
19567,1.2990000000000002,4.05,favori,favori,0.13470871073371082,0.8652912892662894
19568,1.4880000000000002,2.85,challenger,challenger,0.504771356421356,0.4952286435786441
19569,1.408,3.25,challenger,favori,0.11395325238057438,0.8860467476194259
19570,1.847,2.08,favori,favori,0.30870102446573056,0.6912989755342698
19572,1.3130000000000002,3.9,challenger,favori,0.4515186668638014,0.5484813331361984
19573,2.68,1.5619999999999998,favori,favori,0.12086491580315119,0.8791350841968495
19574,1.435,3.1,favori,favori,0.13782510764089717,0.8621748923591028
19577,1.357,3.6,favori,favori,0.21217472964833192,0.7878252703516687
19578,2.28,1.725,challenger,favori,0.10027970852676736,0.8997202914732328
19579,1.139,7.5,favori,favori,0.40449109855273857,0.5955089014472612
19580,1.649,2.44,favori,challenger,0.6264049572031001,0.3735950427969007
19581,2.22,1.758,challenger,challenger,0.5011011067535837,0.49889889324641634
19583,2.51,1.621,favori,favori,0.37692870761849095,0.6230712923815092
19584,1.368,3.52,favori,favori,0.16738981922789975,0.8326101807721007
19585,1.676,2.38,favori,challenger,0.5532644602559462,0.4467355397440539
19587,1.391,3.36,challenger,favori,0.350652562229652,0.649347437770348
19588,1.392,3.35,favori,favori,0.1452474797446463,0.854752520255354
19589,1.198,5.55,favori,favori,0.2638448454795978,0.7361551545204028
19590,1.658,2.42,favori,favori,0.23271537498449282,0.7672846250155079
19591,1.602,2.56,favori,favori,0.1262736717530836,0.873726328246916
19592,1.877,2.04,favori,challenger,0.7291038800209085,0.2708961199790921
19593,1.769,2.2,challenger,favori,0.28651733968645726,0.713482660313543
19594,1.61,2.54,challenger,challenger,0.6373380521439344,0.3626619478560655
19595,1.056,15.0,favori,challenger,0.6434111659795165,0.356588834020484
19597,1.222,5.1,favori,favori,0.3310910481675189,0.6689089518324811
19598,1.98,1.926,challenger,favori,0.18560816652387865,0.8143918334761205
19599,2.1,1.833,challenger,favori,0.12839202010579723,0.8716079798942029
19600,1.6669999999999998,2.4,challenger,favori,0.3034416935015301,0.6965583064984694
19601,1.885,2.03,favori,challenger,0.8020867217749575,0.19791327822504298
19602,1.485,2.86,favori,favori,0.18776786077942148,0.8122321392205782
19603,1.4269999999999998,3.14,favori,challenger,0.5908814848006023,0.40911851519939757
19604,1.51,2.81,challenger,favori,0.27276386334683567,0.7272361366531647
19605,1.568,2.66,challenger,challenger,0.6284269925390265,0.3715730074609738
19606,1.99,1.917,favori,favori,0.3534636139746052,0.6465363860253958
19607,1.571,2.65,challenger,challenger,0.6590811774164934,0.3409188225835065
19608,1.649,2.44,favori,favori,0.4004525811200321,0.5995474188799679
19614,1.617,2.52,favori,favori,0.23993741182222905,0.7600625881777712
19615,1.578,2.63,favori,favori,0.43032806169317134,0.5696719383068289
19616,1.226,5.03,challenger,favori,0.2883957488589842,0.7116042511410158
19617,1.73,2.27,challenger,favori,0.14108544367569145,0.8589145563243087
19618,1.4780000000000002,2.89,favori,favori,0.25191845733007734,0.7480815426699228
19619,1.735,2.26,favori,challenger,0.5981399256356397,0.4018600743643601
19620,1.625,2.5,favori,challenger,0.7633964446663595,0.23660355533364122
19621,1.383,3.41,challenger,favori,0.46875048959091054,0.5312495104090894
19622,1.621,2.51,favori,challenger,0.5511768459438735,0.4488231540561262
19623,1.19,5.75,challenger,favori,0.16054872578401994,0.8394512742159795
19624,1.4880000000000002,2.85,favori,challenger,0.5796184026081456,0.42038159739185443
19625,1.662,2.41,favori,favori,0.22429095909250718,0.775709040907493
19626,1.662,2.41,challenger,favori,0.25979507309059896,0.7402049269094012
19627,1.606,2.55,challenger,challenger,0.6743701477938937,0.32562985220610685
19628,1.658,2.42,favori,favori,0.1385591268380743,0.8614408731619256
19629,1.5619999999999998,2.68,favori,favori,0.28839615951643843,0.7116038404835623
19630,1.758,2.22,challenger,favori,0.1534079492403022,0.8465920507596977
