,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
27888,6.12,1.16,challenger,favori,0.047465682,0.9525343
27889,2.51,1.6,favori,favori,0.28600192,0.7139981
27890,4.73,1.23,favori,favori,0.1768657,0.8231343
27891,2.09,1.83,favori,favori,0.3173679,0.6826321
27892,2.82,1.49,favori,favori,0.25857472,0.7414253
27893,1.93,1.97,favori,favori,0.4668088,0.5331912
27894,2.64,1.55,favori,favori,0.45584863,0.54415137
27895,4.34,1.26,favori,favori,0.2255894,0.7744106
27896,3.39,1.37,favori,favori,0.4159155,0.5840845
27897,2.79,1.5,challenger,favori,0.31562406,0.68437594
27898,5.16,1.2,favori,favori,0.23043275,0.76956725
27899,8.67,1.1,favori,favori,0.1336416,0.8663584
27900,3.82,1.32,favori,favori,0.1529271,0.8470729
27901,3.41,1.38,favori,favori,0.28357643,0.7164236
27902,2.42,1.65,favori,favori,0.3882119,0.6117881
27903,2.16,1.79,challenger,challenger,0.5050655,0.4949345
27904,1.7,2.32,favori,challenger,0.6051203,0.39487973
27905,6.19,1.16,favori,favori,0.19183928,0.8081607
27906,2.6,1.56,challenger,favori,0.40201873,0.5979813
27907,2.65,1.56,challenger,favori,0.3946898,0.6053102
27908,2.9,1.48,favori,favori,0.33971614,0.66028386
27909,9.81,1.09,favori,favori,0.109359026,0.890641
27910,4.01,1.3,favori,favori,0.30748367,0.6925163
27911,3.89,1.31,favori,favori,0.34959984,0.65040016
27912,2.85,1.5,challenger,favori,0.4069966,0.5930034
27913,3.02,1.45,challenger,favori,0.20389754,0.79610246
27914,1.98,1.94,favori,challenger,0.52267885,0.47732115
27915,2.97,1.44,favori,favori,0.33868587,0.66131413
27916,3.64,1.33,favori,favori,0.35338026,0.64661974
27917,2.29,1.69,favori,favori,0.28363585,0.71636415
27918,2.09,1.79,challenger,favori,0.24183798,0.758162
27919,1.74,2.26,favori,challenger,0.56652385,0.43347615
27920,3.06,1.44,favori,challenger,0.5412972,0.4587028
27921,1.73,2.24,challenger,challenger,0.5668384,0.4331616
27922,2.2,1.74,favori,favori,0.3611918,0.6388082
27923,2.1,1.81,challenger,favori,0.471929,0.528071
27924,4.29,1.26,favori,favori,0.22844493,0.77155507
27925,1.75,2.19,favori,challenger,0.5569961,0.44300386
27926,2.43,1.62,favori,favori,0.41501164,0.58498836
27927,2.15,1.78,challenger,challenger,0.5405299,0.4594701
27928,3.38,1.36,favori,favori,0.21874124,0.78125876
27929,2.5,1.6,favori,favori,0.37385523,0.62614477
27930,1.75,2.21,challenger,challenger,0.54806924,0.45193076
27931,3.16,1.41,challenger,favori,0.48406655,0.51593345
27932,2.24,1.73,challenger,favori,0.3047644,0.6952356
27933,2.69,1.53,challenger,favori,0.4271896,0.5728104
27934,2.47,1.61,favori,favori,0.40937227,0.59062773
27935,1.96,1.94,challenger,favori,0.43000752,0.5699925
27936,2.33,1.68,favori,challenger,0.5378091,0.46219093
27937,4.97,1.22,favori,favori,0.24804735,0.75195265
27938,1.51,2.47,challenger,favori,0.4347546,0.5652454
27939,1.44,2.98,challenger,challenger,0.5007268,0.4992732
27940,2.2,1.75,challenger,challenger,0.5176004,0.4823996
27941,3.44,1.36,favori,favori,0.35259438,0.6474056
27942,2.11,1.81,favori,challenger,0.50867206,0.49132794
27943,1.4,3.22,challenger,favori,0.41490602,0.585094
27944,1.71,2.27,challenger,challenger,0.5305052,0.4694948
27945,4.85,1.22,favori,favori,0.31165826,0.68834174
27946,2.45,1.62,favori,favori,0.4446265,0.5553735
27947,1.88,2.02,challenger,favori,0.42503428,0.5749657
27948,4.5,1.25,favori,favori,0.29531884,0.70468116
27949,2.93,1.46,favori,favori,0.25788867,0.7421113
27950,3.91,1.3,challenger,favori,0.25219536,0.74780464
27951,3.18,1.41,challenger,favori,0.27953595,0.72046405
27952,1.83,2.11,favori,challenger,0.55746436,0.44253564
27953,2.61,1.57,challenger,favori,0.48159122,0.5184088
27954,1.55,2.66,favori,challenger,0.62705326,0.3729467
27955,3.47,1.37,favori,favori,0.2715029,0.7284971
27956,4.95,1.22,favori,favori,0.31108403,0.68891597
27957,4.51,1.25,favori,favori,0.2854293,0.7145707
27958,2.58,1.58,challenger,favori,0.49078417,0.50921583
27959,1.47,2.89,favori,favori,0.44705832,0.5529417
27960,1.5,2.79,challenger,challenger,0.55897224,0.44102776
27961,3.31,1.38,favori,favori,0.35749573,0.6425043
27962,3.31,1.38,challenger,favori,0.15768117,0.84231883
27963,1.95,1.95,favori,favori,0.45761663,0.5423834
27964,4.73,1.23,favori,favori,0.2766816,0.7233184
