,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
15799,1.735,2.26,challenger,challenger,0.5595279416869142,0.4404720583130857
15800,1.3330000000000002,3.7,favori,favori,0.287900612171408,0.7120993878285921
15801,1.645,2.45,favori,favori,0.287900612171408,0.7120993878285921
15802,1.332,3.71,favori,challenger,0.5595279416869142,0.4404720583130857
15803,2.65,1.571,favori,challenger,0.5595279416869142,0.4404720583130857
15804,1.8,2.15,favori,favori,0.4552306300874284,0.5447693699125716
15805,1.625,2.5,favori,favori,0.287900612171408,0.7120993878285921
15808,1.575,2.64,challenger,favori,0.287900612171408,0.7120993878285921
15809,1.385,3.4,favori,favori,0.39772357723577234,0.6022764227642277
15810,1.175,6.22,favori,favori,0.39772357723577234,0.6022764227642277
15811,2.24,1.746,challenger,favori,0.08791208791208792,0.9120879120879121
15812,1.331,3.72,favori,favori,0.287900612171408,0.7120993878285921
15813,1.541,2.75,challenger,favori,0.24712930604093858,0.7528706939590614
15814,1.172,6.3,challenger,favori,0.034578146611341634,0.9654218533886584
15815,2.04,1.877,favori,challenger,0.5595279416869142,0.4404720583130857
15818,2.44,1.649,favori,favori,0.39772357723577234,0.6022764227642277
15819,1.571,2.65,favori,favori,0.24712930604093858,0.7528706939590614
15820,1.578,2.63,favori,favori,0.287900612171408,0.7120993878285921
15822,1.36,3.58,favori,favori,0.39772357723577234,0.6022764227642277
15825,1.962,1.943,favori,challenger,0.5595279416869142,0.4404720583130857
15826,1.364,3.55,challenger,favori,0.034578146611341634,0.9654218533886584
15828,1.444,3.05,challenger,favori,0.08791208791208792,0.9120879120879121
15829,1.262,4.51,favori,favori,0.034578146611341634,0.9654218533886584
15831,2.36,1.685,challenger,favori,0.47556142668428003,0.52443857331572
15832,1.366,3.53,challenger,challenger,0.5595279416869142,0.4404720583130857
15834,1.365,3.54,favori,challenger,0.5595279416869142,0.4404720583130857
15835,1.42,3.18,challenger,favori,0.3678516228748068,0.6321483771251932
15836,2.63,1.578,challenger,favori,0.034578146611341634,0.9654218533886584
15838,1.503,2.84,favori,favori,0.3678516228748068,0.6321483771251932
15839,2.41,1.662,challenger,favori,0.24712930604093858,0.7528706939590614
15840,1.204,5.39,favori,favori,0.3678516228748068,0.6321483771251932
15841,1.362,3.56,favori,favori,0.08791208791208792,0.9120879120879121
15847,1.446,3.04,favori,favori,0.08791208791208792,0.9120879120879121
15848,1.49,2.84,favori,favori,0.08791208791208792,0.9120879120879121
15850,1.362,3.56,favori,favori,0.3678516228748068,0.6321483771251932
15851,1.962,1.943,favori,favori,0.39772357723577234,0.6022764227642277
15853,1.23,4.95,favori,favori,0.4552306300874284,0.5447693699125716
15854,1.16,6.64,challenger,favori,0.034578146611341634,0.9654218533886584
15855,1.094,9.6,favori,favori,0.08791208791208792,0.9120879120879121
15856,1.485,2.86,challenger,favori,0.24712930604093858,0.7528706939590614
15859,1.185,5.9,favori,favori,0.4552306300874284,0.5447693699125716
15860,2.86,1.485,challenger,favori,0.3678516228748068,0.6321483771251932
15861,2.15,1.8,challenger,favori,0.24712930604093858,0.7528706939590614
15862,2.36,1.685,challenger,favori,0.4552306300874284,0.5447693699125716
15863,1.69,2.35,challenger,favori,0.287900612171408,0.7120993878285921
15864,1.943,1.962,challenger,favori,0.08791208791208792,0.9120879120879121
15865,1.268,4.43,challenger,favori,0.24712930604093858,0.7528706939590614
15866,1.585,2.61,favori,favori,0.24712930604093858,0.7528706939590614
15867,1.204,5.4,challenger,favori,0.287900612171408,0.7120993878285921
15868,1.152,7.0,favori,favori,0.08791208791208792,0.9120879120879121
15869,2.68,1.5619999999999998,favori,challenger,0.5595279416869142,0.4404720583130857
15870,1.173,6.29,favori,favori,0.034578146611341634,0.9654218533886584
15871,2.01,1.901,challenger,favori,0.034578146611341634,0.9654218533886584
15872,1.6369999999999998,2.47,challenger,favori,0.08791208791208792,0.9120879120879121
15873,1.391,3.36,favori,favori,0.08791208791208792,0.9120879120879121
15874,2.86,1.485,challenger,favori,0.08791208791208792,0.9120879120879121
15875,1.485,2.86,favori,favori,0.287900612171408,0.7120993878285921
15877,2.58,1.595,challenger,favori,0.36024844720496896,0.639751552795031
15878,1.224,5.06,favori,favori,0.287900612171408,0.7120993878285921
15879,1.392,3.35,favori,favori,0.287900612171408,0.7120993878285921
15880,1.267,4.44,favori,favori,0.287900612171408,0.7120993878285921
15881,1.177,6.15,favori,favori,0.287900612171408,0.7120993878285921
15882,1.045,18.0,favori,favori,0.08791208791208792,0.9120879120879121
15883,1.334,3.69,favori,favori,0.08791208791208792,0.9120879120879121
15884,1.5590000000000002,2.69,favori,challenger,0.5595279416869142,0.4404720583130857
15885,1.4369999999999998,3.09,challenger,challenger,0.7666666666666667,0.23333333333333334
15886,1.893,2.02,challenger,favori,0.24712930604093858,0.7528706939590614
15887,1.143,7.3,favori,favori,0.08791208791208792,0.9120879120879121
15888,1.465,2.95,favori,favori,0.08791208791208792,0.9120879120879121
15889,1.307,3.96,favori,favori,0.034578146611341634,0.9654218533886584
15890,2.0,1.909,challenger,favori,0.24712930604093858,0.7528706939590614
15891,3.02,1.45,favori,favori,0.3678516228748068,0.6321483771251932
15892,2.11,1.826,favori,favori,0.39772357723577234,0.6022764227642277
15893,1.4480000000000002,3.03,favori,favori,0.24712930604093858,0.7528706939590614
15894,1.244,4.69,favori,favori,0.08791208791208792,0.9120879120879121
15895,1.024,27.0,favori,favori,0.39772357723577234,0.6022764227642277
15896,1.758,2.22,favori,favori,0.39772357723577234,0.6022764227642277
15897,1.725,2.28,favori,favori,0.08791208791208792,0.9120879120879121
15898,1.714,2.3,challenger,favori,0.39772357723577234,0.6022764227642277
15899,1.264,4.49,favori,favori,0.39772357723577234,0.6022764227642277
15900,1.565,2.67,challenger,favori,0.39772357723577234,0.6022764227642277
15901,1.146,7.25,favori,favori,0.034578146611341634,0.9654218533886584
15902,1.877,2.04,challenger,favori,0.08791208791208792,0.9120879120879121
15903,1.833,2.1,favori,favori,0.287900612171408,0.7120993878285921
15904,1.49,2.84,challenger,favori,0.21658986175115208,0.783410138248848
15905,2.67,1.565,challenger,favori,0.034578146611341634,0.9654218533886584
15906,1.581,2.62,favori,favori,0.08791208791208792,0.9120879120879121
15907,1.592,2.59,favori,favori,0.08791208791208792,0.9120879120879121
15908,1.149,7.1,favori,favori,0.24712930604093858,0.7528706939590614
15909,1.6369999999999998,2.47,favori,challenger,0.7666666666666667,0.23333333333333334
15910,1.568,2.66,favori,favori,0.034578146611341634,0.9654218533886584
15911,2.52,1.617,favori,favori,0.39772357723577234,0.6022764227642277
15912,1.714,2.3,challenger,favori,0.08791208791208792,0.9120879120879121
15913,2.47,1.6369999999999998,favori,challenger,0.5595279416869142,0.4404720583130857
15914,1.901,2.01,favori,favori,0.287900612171408,0.7120993878285921
15915,1.99,1.917,favori,favori,0.287900612171408,0.7120993878285921
15917,1.25,4.6,favori,favori,0.287900612171408,0.7120993878285921
15921,1.485,1.86,challenger,favori,0.08791208791208792,0.9120879120879121
15922,1.699,2.33,challenger,favori,0.287900612171408,0.7120993878285921
15923,1.633,2.48,favori,favori,0.08791208791208792,0.9120879120879121
15924,1.27,4.4,challenger,favori,0.287900612171408,0.7120993878285921
15926,1.725,2.28,favori,favori,0.4552306300874284,0.5447693699125716
15927,1.3130000000000002,3.9,challenger,favori,0.4552306300874284,0.5447693699125716
15929,1.285,4.21,favori,favori,0.39772357723577234,0.6022764227642277
15930,1.293,4.11,favori,favori,0.47556142668428003,0.52443857331572
15931,1.276,4.32,favori,favori,0.24712930604093858,0.7528706939590614
15932,3.02,1.45,challenger,favori,0.39772357723577234,0.6022764227642277
15933,2.7,1.556,favori,favori,0.47556142668428003,0.52443857331572
15934,1.588,2.6,favori,challenger,0.5595279416869142,0.4404720583130857
15935,1.121,8.45,favori,favori,0.39772357723577234,0.6022764227642277
15936,1.078,11.26,favori,favori,0.287900612171408,0.7120993878285921
15937,1.51,2.81,favori,favori,0.4552306300874284,0.5447693699125716
15938,1.091,10.0,favori,favori,0.39772357723577234,0.6022764227642277
15939,3.41,1.383,challenger,challenger,0.5595279416869142,0.4404720583130857
15940,1.091,10.0,challenger,favori,0.47556142668428003,0.52443857331572
15941,1.452,3.01,challenger,favori,0.36024844720496896,0.639751552795031
15942,1.357,3.6,favori,favori,0.4552306300874284,0.5447693699125716
15943,1.278,4.3,favori,favori,0.39772357723577234,0.6022764227642277
15944,1.2919999999999998,4.13,challenger,favori,0.39772357723577234,0.6022764227642277
15945,1.538,2.76,challenger,favori,0.47556142668428003,0.52443857331572
15946,1.4,3.3,favori,favori,0.287900612171408,0.7120993878285921
15947,2.3,1.714,challenger,favori,0.287900612171408,0.7120993878285921
15948,1.22,5.14,favori,favori,0.4552306300874284,0.5447693699125716
15950,1.187,5.85,favori,favori,0.287900612171408,0.7120993878285921
15951,1.6369999999999998,2.47,favori,challenger,0.5595279416869142,0.4404720583130857
15952,1.51,2.81,favori,favori,0.16276041666666666,0.8372395833333334
15953,2.45,1.645,challenger,favori,0.4552306300874284,0.5447693699125716
